time,open,high,low,close,volume
2026-05-12 17:00:00,2263.83,2278.0,1892.87,2276.59,307.4213
2026-05-12 18:00:00,2276.58,2284.59,2275.49,2279.31,260.0183
2026-05-12 19:00:00,2279.07,2286.88,2279.07,2284.75,258.1818
2026-05-12 20:00:00,2284.75,2287.21,2281.33,2285.05,268.9085
2026-05-12 21:00:00,2285.04,2287.63,2283.1,2285.4,158.3041
2026-05-12 22:00:00,2285.4,2311.62,2282.43,2282.44,449.6709
2026-05-12 23:00:00,2282.33,2283.75,2273.88,2275.36,59.1633
2026-05-13 00:00:00,2274.97,2286.17,2273.54,2281.57,332.263
2026-05-13 01:00:00,2281.57,2295.02,2281.31,2289.99,294.0116
2026-05-13 02:00:00,2289.99,2299.81,1935.37,2293.88,664.3129
2026-05-13 03:00:00,2293.89,2311.62,2292.44,2301.29,527.677
2026-05-13 04:00:00,2302.03,2307.86,2298.62,2306.55,187.7803
2026-05-13 05:00:00,2306.68,2307.48,2296.0,2297.08,276.6927
2026-05-13 06:00:00,2297.81,2312.38,2289.59,2301.57,326.8946
2026-05-13 07:00:00,2301.57,2303.02,2296.95,2301.32,178.3016
2026-05-13 08:00:00,2301.07,2316.95,2300.74,2316.64,342.4624
2026-05-13 09:00:00,2316.65,2323.33,2314.46,2320.98,362.1061
2026-05-13 10:00:00,2321.19,2321.6,2306.23,2308.81,306.8094
2026-05-13 11:00:00,2308.87,2308.87,2299.01,2302.39,370.6039
2026-05-13 12:00:00,2301.83,2306.98,2271.66,2284.46,333.7686
2026-05-13 13:00:00,2284.45,2287.87,2259.98,2262.81,423.4626
2026-05-13 14:00:00,2262.81,2270.69,2251.76,2267.84,326.0243
2026-05-13 15:00:00,2267.65,2269.94,2222.96,2237.28,417.0311
2026-05-13 16:00:00,2237.22,2253.34,2236.4,2251.03,382.9734
2026-05-13 17:00:00,2250.74,2261.48,2250.74,2258.68,215.4765
2026-05-13 18:00:00,2258.65,2267.69,2258.65,2259.6,166.2656
2026-05-13 19:00:00,2259.83,2260.71,2251.19,2257.14,200.0322
2026-05-13 20:00:00,2257.14,2264.46,2256.68,2263.64,203.9717
2026-05-13 21:00:00,2264.03,2264.07,2254.49,2255.67,168.5541
2026-05-13 22:00:00,2256.69,2260.55,2251.01,2259.92,148.6474
2026-05-13 23:00:00,2259.59,2261.78,2255.0,2258.43,216.3469
2026-05-14 00:00:00,2258.66,2269.37,2251.87,2267.07,329.1904
2026-05-14 01:00:00,2267.06,2268.77,2260.17,2265.13,190.9435
2026-05-14 02:00:00,2264.9,2273.29,2249.81,2251.15,204.7054
2026-05-14 03:00:00,2251.53,2254.99,2238.76,2242.19,381.4084
2026-05-14 04:00:00,2242.39,2258.07,2239.85,2256.14,231.6845
2026-05-14 05:00:00,2256.13,2272.9,2255.61,2269.24,254.1999
2026-05-14 06:00:00,2268.73,2274.99,2266.93,2267.71,326.9666
2026-05-14 07:00:00,2267.72,2270.73,2263.89,2265.18,142.4651
2026-05-14 08:00:00,2265.28,2271.0,2262.14,2266.27,162.7078
2026-05-14 09:00:00,2267.44,2267.72,2252.78,2257.8,228.7004
2026-05-14 10:00:00,2257.81,2265.53,2256.05,2261.89,234.239
2026-05-14 11:00:00,2262.14,2264.0,2252.54,2254.28,228.192
2026-05-14 12:00:00,2254.01,2262.91,2248.55,2261.66,312.7483
2026-05-14 13:00:00,2261.67,2264.99,2250.0,2250.28,398.0162
2026-05-14 14:00:00,2250.27,2287.98,2247.14,2286.4,454.5636
2026-05-14 15:00:00,2286.29,2299.35,2280.68,2299.11,490.9808
2026-05-14 16:00:00,2299.15,2317.53,2294.67,2316.37,654.6525
2026-05-14 17:00:00,2316.38,2319.33,2296.85,2308.18,576.4621
2026-05-14 18:00:00,2308.18,2316.37,2303.0,2309.66,265.5904
2026-05-14 19:00:00,2309.68,2312.13,2297.77,2298.95,143.0433
2026-05-14 20:00:00,2298.95,2301.08,2288.73,2297.71,122.0104
2026-05-14 21:00:00,2297.72,2300.24,2290.0,2297.35,144.1362
2026-05-14 22:00:00,2297.19,2301.07,2295.57,2297.82,59.2883
2026-05-14 23:00:00,2298.15,2298.15,2280.75,2282.87,70.4332
2026-05-15 00:00:00,2283.08,2301.75,2283.06,2291.17,299.7887
2026-05-15 01:00:00,2291.17,2294.51,2275.07,2278.35,434.2598
2026-05-15 02:00:00,2278.36,2278.74,2260.45,2275.88,578.5387
2026-05-15 03:00:00,2276.37,2279.23,2268.16,2273.92,373.8473
2026-05-15 04:00:00,2273.34,2273.47,2262.74,2262.75,214.1528
2026-05-15 05:00:00,2262.75,2267.0,2238.48,2245.49,350.8465
2026-05-15 06:00:00,2245.62,2256.86,2244.43,2255.39,184.3136
2026-05-15 07:00:00,2254.78,2270.75,2253.72,2265.1,258.4397
2026-05-15 08:00:00,2265.1,2265.1,2251.18,2257.28,279.5682
2026-05-15 09:00:00,2257.3,2260.0,2251.69,2254.28,242.087
2026-05-15 10:00:00,2254.49,2264.96,2252.7,2262.34,134.0777
2026-05-15 11:00:00,2262.34,2263.95,2257.44,2257.57,62.2417
2026-05-15 12:00:00,2257.57,2260.5,2252.26,2254.29,53.3603
2026-05-15 13:00:00,2254.29,2254.3,2211.92,2213.44,188.523
2026-05-15 14:00:00,2213.44,2223.62,2205.95,2213.77,106.9775
2026-05-15 15:00:00,2213.77,2223.5,2210.01,2222.59,49.368
