time,open,high,low,close,volume
2026-05-31 13:40:00,2023.31,2023.32,2022.2,2022.57,6.899
2026-05-31 13:45:00,2022.56,2022.91,2022.21,2022.86,4.425
2026-05-31 13:50:00,2022.86,2022.87,2022.8,2022.8,75.8185
2026-05-31 13:55:00,2022.8,2022.87,2020.44,2020.51,140.2237
2026-05-31 14:00:00,2020.51,2020.51,2020.5,2020.5,49.9361
2026-05-31 14:05:00,2020.51,2021.21,2019.49,2021.2,18.2288
2026-05-31 14:10:00,2021.2,2021.41,2014.93,2014.94,20.719
2026-05-31 14:15:00,2014.94,2017.95,2006.84,2007.41,70.8525
2026-05-31 14:20:00,2007.47,2011.8,2007.47,2010.68,38.3336
2026-05-31 14:25:00,2010.21,2011.31,2009.21,2010.91,45.2094
2026-05-31 14:30:00,2011.26,2013.2,2010.6,2012.06,35.7647
2026-05-31 14:35:00,2011.47,2013.46,2010.05,2011.46,40.4625
2026-05-31 14:40:00,2011.46,2011.46,2008.48,2008.7,40.8731
2026-05-31 14:45:00,2008.7,2011.79,2008.7,2010.29,44.0879
2026-05-31 14:50:00,2010.59,2012.35,2010.59,2011.78,37.8959
2026-05-31 14:55:00,2011.69,2011.7,2006.15,2008.05,31.9921
2026-05-31 15:00:00,2008.06,2010.75,2008.05,2008.51,36.8345
2026-05-31 15:05:00,2008.04,2010.59,2008.04,2009.49,43.5714
2026-05-31 15:10:00,2009.69,2011.37,2009.52,2011.36,22.1922
2026-05-31 15:15:00,2011.36,2012.91,2010.73,2012.62,17.3652
2026-05-31 15:20:00,2012.62,2014.03,2012.3,2014.03,22.8488
2026-05-31 15:25:00,2014.03,2015.21,2013.31,2013.31,29.4903
2026-05-31 15:30:00,2013.42,2013.94,2013.27,2013.94,5.5622
2026-05-31 15:35:00,2014.26,2014.26,2012.98,2013.46,16.2331
2026-05-31 15:40:00,2013.47,2013.47,2009.06,2009.58,54.5171
2026-05-31 15:45:00,2009.58,2013.33,2009.58,2011.23,24.0851
2026-05-31 15:50:00,2011.23,2011.73,2010.78,2011.27,9.3601
2026-05-31 15:55:00,2011.09,2011.36,2010.5,2010.51,13.7094
2026-05-31 16:00:00,2010.52,2012.2,2010.33,2011.08,18.7468
2026-05-31 16:05:00,2010.71,2011.46,2009.85,2009.85,32.8092
2026-05-31 16:10:00,2009.85,2009.85,2006.81,2006.82,29.8874
2026-05-31 16:15:00,2007.13,2008.54,2006.68,2008.54,37.4105
2026-05-31 16:20:00,2008.22,2008.85,2004.3,2004.62,45.6281
2026-05-31 16:25:00,2005.17,2007.23,2003.99,2007.23,26.6218
2026-05-31 16:30:00,2007.16,2007.16,1999.53,2000.19,32.8217
2026-05-31 16:35:00,2000.67,2000.91,1999.21,2000.91,16.689
2026-05-31 16:40:00,2001.1,2001.51,2000.2,2000.68,27.2573
2026-05-31 16:45:00,2000.68,2000.99,1999.38,1999.66,27.3543
2026-05-31 16:50:00,1999.66,2002.31,1999.66,2002.31,20.8758
2026-05-31 16:55:00,2002.74,2003.11,2001.95,2002.1,17.5683
2026-05-31 17:00:00,2002.1,2003.62,2000.61,2000.68,34.0584
